Year,Country,Disaster Subroup,Disaster Type,Total Events,Total Affected,Total Deaths,"Total Damage (USD, adjusted)"
#date +occurred,#country +name,#cause +subgroup,#cause +type,#frequency,#affected +ind,#affected +ind +killed,#value +usd
2022,United States of America,Meteorological,Storm,1,12,2,2750193415
2022,United States of America,Meteorological,Storm,2,690,4,1842629588
2022,United States of America,Meteorological,Storm,5,754,26,4456413410
2022,United States of America,Meteorological,Storm,6,489,30,12022745535
2022,United States of America,Meteorological,Storm,2,1500,157,1.11108E+11
2023,United States of America,Climatological,Drought,1,,247,15320469026
2023,United States of America,Climatological,Wildfire,2,8497,130,5811212389
2023,United States of America,Hydrological,Flood,1,2000,,1162242478
2023,United States of America,Hydrological,Flood,3,126,13,2324484956
2023,United States of America,Meteorological,Extreme temperature,1,,14,
2023,United States of America,Meteorological,Extreme temperature,1,25,10,406784867
2023,United States of America,Meteorological,Storm,4,2661,18,3439181150
2023,United States of America,Meteorological,Storm,6,307,28,22769386725
2023,United States of America,Meteorological,Storm,5,14417,75,17084964424
2023,United States of America,Meteorological,Storm,1,,5,3698044248
